layer1,dropout1,reg1,epochs,accuracy,f1,time
64,0,batch,40,0.8711636828644501,0.878351208276548,1:50
64,0.2,batch,40,0.8273017902813299,0.8546829980108835,1:54
64,0.4,batch,40,0.7829923273657289,0.828467057035359,1:57
128,0,batch,40,0.9120843989769821,0.9133599979393033,2:1
128,0.2,batch,40,0.9081202046035806,0.9144929474414704,2:5
128,0.4,batch,40,0.8769181585677749,0.8929809871287251,2:10
256,0,batch,40,0.9316496163682865,0.9319969915953554,2:14
256,0.2,batch,40,0.933695652173913,0.9353016015702343,2:19
256,0.4,batch,40,0.926150895140665,0.9301753982233231,2:24
512,0,batch,40,0.9400895140664962,0.9403136801187124,2:29
512,0.2,batch,40,0.9434782608695652,0.9440877170147267,2:45
512,0.4,batch,40,0.9426470588235294,0.9443099880813943,3:5
1024,0,batch,40,0.9361892583120205,0.9362221216702902,3:35
1024,0.2,batch,40,0.945076726342711,0.9453794873835828,4:7
1024,0.4,batch,40,0.9448209718670076,0.9456421558247451,4:40
2048,0,batch,40,0.9391304347826087,0.9392855751064845,5:25
2048,0.2,batch,40,0.9465473145780051,0.9466645211520389,6:14
2048,0.4,batch,40,0.9484015345268543,0.9488862059342207,7:2
