layer1,dropout1,reg1,epochs,accuracy,f1,time
64,0.2,0.0,10,0.805658567774936,0.8382392768673206,3:31
64,0.2,0.0,20,0.8294757033248081,0.854168269367735,3:34
64,0.2,0.0,40,0.8453964194373402,0.8629430611270233,3:41
64,0.2,0.0,60,0.841719948849105,0.8583237793298301,3:50
64,0.2,0.0001,10,0.7987851662404092,0.8367439819018139,3:52
64,0.2,0.0001,20,0.8284846547314577,0.8551862663624021,3:55
64,0.2,0.0001,40,0.8278772378516623,0.8529609016807931,4:1
64,0.2,0.0001,60,0.8303388746803069,0.8535254129469927,4:11
64,0.2,0.001,10,0.7589514066496164,0.8083136890557956,4:13
64,0.2,0.001,20,0.7816496163682864,0.8227294584871515,4:16
64,0.2,0.001,40,0.7972826086956522,0.8338975546770633,4:23
64,0.2,0.001,60,0.807608695652174,0.8402048674061144,4:33
64,0.4,0.0,10,0.7360933503836318,0.7913820054609074,4:34
64,0.4,0.0,20,0.7646419437340153,0.8104310799785324,4:38
64,0.4,0.0,40,0.7843350383631713,0.8221312748179511,4:44
64,0.4,0.0,60,0.793893861892583,0.828852106380933,4:54
64,0.4,0.0001,10,0.7124360613810742,0.7752645842706046,4:56
64,0.4,0.0001,20,0.7486572890025576,0.8031426300548231,4:59
64,0.4,0.0001,40,0.7779731457800512,0.8210101678199273,5:6
64,0.4,0.0001,60,0.7746803069053708,0.8192216840525763,5:17
64,0.4,0.001,10,0.6557225063938619,0.7341294424200442,5:18
64,0.4,0.001,20,0.7036445012787724,0.7705434093702477,5:22
64,0.4,0.001,40,0.7213235294117648,0.7836537890749764,5:29
64,0.4,0.001,60,0.7359015345268543,0.793735275385758,5:39
128,0.2,0.0,10,0.8824168797953964,0.8933537154749489,5:42
128,0.2,0.0,20,0.8968030690537084,0.901903750190397,5:47
128,0.2,0.0,40,0.9043158567774936,0.9072030325558053,5:56
128,0.2,0.0,60,0.9035805626598465,0.9054953006605164,6:11
128,0.2,0.0001,10,0.8720588235294118,0.8878057911851218,6:14
128,0.2,0.0001,20,0.8864769820971867,0.8962536583602965,6:19
128,0.2,0.0001,40,0.8946611253196931,0.9024007016740457,6:29
128,0.2,0.0001,60,0.8970907928388747,0.9025531484048799,6:45
128,0.2,0.001,10,0.8387148337595909,0.8665661223566792,6:47
128,0.2,0.001,20,0.8582480818414322,0.8780300358668875,6:53
128,0.2,0.001,40,0.8696611253196931,0.8859978233218526,7:3
128,0.2,0.001,60,0.870812020460358,0.8861851342615092,7:19
128,0.4,0.0,10,0.8502877237851663,0.871880152350405,7:22
128,0.4,0.0,20,0.8710997442455243,0.8859820331730576,7:27
128,0.4,0.0,40,0.8827365728900256,0.8922329010753571,7:37
128,0.4,0.0,60,0.8910166240409207,0.8973508989591082,7:53
