layer1,dropout1,reg1,epochs,accuracy,f1,time
64,0.2,0.0,40,0.8415601023017902,0.8593906671078377,7:15
64,0.2,0.0001,40,0.8367007672634271,0.8592393261039242,7:30
64,0.2,batch,40,0.8340153452685422,0.8590354962844315,7:45
128,0.2,0.0,40,0.9005754475703325,0.9035794883890366,8:1
128,0.2,0.0001,40,0.9010869565217391,0.9083475307493143,8:20
128,0.2,batch,40,0.8994884910485933,0.9064280260157864,8:38
256,0.2,0.0,40,0.931074168797954,0.9313298933543881,8:55
256,0.2,0.0001,40,0.9200127877237851,0.9226181106702456,9:15
256,0.2,batch,40,0.9346547314578005,0.9362763130548551,9:35
512,0.2,0.0,40,0.9432225063938618,0.9431869348196785,9:55
512,0.2,0.0001,40,0.9287084398976982,0.9302590660298587,10:17
512,0.2,batch,40,0.9424552429667519,0.9431730838284282,10:40
1024,0.2,0.0,40,0.9433503836317135,0.9432840518446243,11:5
1024,0.2,0.0001,40,0.9352941176470588,0.936076196046256,11:36
1024,0.2,batch,40,0.9455242966751918,0.945893456349432,12:8
2048,0.2,0.0,40,0.9434143222506394,0.9434092118131443,12:49
2048,0.2,0.0001,40,0.9366368286445013,0.9376925758871121,13:40
2048,0.2,batch,40,0.9425831202046036,0.9427604613435417,14:30
